show_id,release_year,date_added,year_difference
s1,2020,2021-09-25,1.0
s2,2021,2021-09-24,0.0
s3,2021,2021-09-24,0.0
s4,2021,2021-09-24,0.0
s5,2021,2021-09-24,0.0
s6,2021,2021-09-24,0.0
s7,2021,2021-09-24,0.0
s8,1993,2021-09-24,28.0
s9,2021,2021-09-24,0.0
s10,2021,2021-09-24,0.0
s11,2021,2021-09-24,0.0
s12,2021,2021-09-23,0.0
s13,2021,2021-09-23,0.0
s14,2021,2021-09-22,0.0
s15,2021,2021-09-22,0.0
s16,2021,2021-09-22,0.0
s17,2020,2021-09-22,1.0
s18,2020,2021-09-22,1.0
s19,2021,2021-09-22,0.0
s20,2021,2021-09-22,0.0
s21,2021,2021-09-22,0.0
s22,2018,2021-09-22,3.0
s23,1996,2021-09-21,25.0
s24,2021,2021-09-21,0.0
s25,1998,2021-09-21,23.0
s26,2021,2021-09-21,0.0
s27,1997,2021-09-21,24.0
s28,2010,2021-09-20,11.0
s29,2013,2021-09-19,8.0
s30,2013,2021-09-19,8.0
s31,2021,2021-09-17,0.0
s32,2021,2021-09-17,0.0
s33,2020,2021-09-17,1.0
s34,2021,2021-09-17,0.0
s35,2020,2021-09-17,1.0
s36,2021,2021-09-17,0.0
s37,2021,2021-09-17,0.0
s38,2018,2021-09-16,3.0
s39,2017,2021-09-16,4.0
s40,2021,2021-09-16,0.0
s41,2021,2021-09-16,0.0
s42,1975,2021-09-16,46.0
s43,1978,2021-09-16,43.0
s44,1983,2021-09-16,38.0
s45,1987,2021-09-16,34.0
s46,2021,2021-09-16,0.0
s47,2012,2021-09-16,9.0
s48,2020,2021-09-16,1.0
s49,2001,2021-09-16,20.0
s50,2021,2021-09-15,0.0
s51,2014,2021-09-15,7.0
s52,2002,2021-09-15,19.0
s53,2003,2021-09-15,18.0
s54,2004,2021-09-15,17.0
s55,2001,2021-09-15,20.0
s56,2021,2021-09-15,0.0
s57,2011,2021-09-15,10.0
s58,2008,2021-09-15,13.0
s59,2009,2021-09-15,12.0
s60,2007,2021-09-15,14.0
s61,2010,2021-09-15,11.0
s62,2005,2021-09-15,16.0
s63,2006,2021-09-15,15.0
s64,2004,2021-09-15,17.0
s65,2021,2021-09-15,0.0
s66,2021,2021-09-15,0.0
s67,2014,2021-09-15,7.0
s68,1994,2021-09-15,27.0
s69,2021,2021-09-15,0.0
s70,2015,2021-09-15,6.0
s71,2021,2021-09-15,0.0
