show_id,title,movie_duration(min),tv_show_duration(temp)
s1,Dick Johnson Is Dead,90.0,
s2,Blood & Water,,2.0
s3,Ganglands,,1.0
s4,Jailbirds New Orleans,,1.0
s5,Kota Factory,,2.0
s6,Midnight Mass,,1.0
s7,My Little Pony: A New Generation,91.0,
s8,Sankofa,125.0,
s9,The Great British Baking Show,,9.0
s10,The Starling,104.0,
s11,"Vendetta: Truth, Lies and The Mafia",,1.0
s12,Bangkok Breaking,,1.0
s13,Je Suis Karl,127.0,
s14,Confessions of an Invisible Girl,91.0,
s15,Crime Stories: India Detectives,,1.0
s16,Dear White People,,4.0
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,67.0,
s18,Falsa identidad,,2.0
s19,Intrusion,94.0,
s20,Jaguar,,1.0
s21,Monsters Inside: The 24 Faces of Billy Milligan,,1.0
s22,Resurrection: Ertugrul,,5.0
s23,Avvai Shanmughi,161.0,
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,61.0,
s25,Jeans,166.0,
s26,Love on the Spectrum,,2.0
s27,Minsara Kanavu,147.0,
s28,Grown Ups,103.0,
s29,Dark Skies,97.0,
s30,Paranoia,106.0,
s31,Ankahi Kahaniya,111.0,
s32,Chicago Party Aunt,,1.0
s33,Sex Education,,3.0
s34,Squid Game,,1.0
s35,Tayo and Little Wizards,,1.0
s36,The Father Who Moves Mountains,110.0,
s37,The Stronghold,105.0,
s38,Angry Birds,,1.0
s39,Birth of the Dragon,96.0,
s40,Chhota Bheem,,3.0
s41,He-Man and the Masters of the Universe,,1.0
s42,Jaws,124.0,
s43,Jaws 2,116.0,
s44,Jaws 3,98.0,
s45,Jaws: The Revenge,91.0,
s46,My Heroes Were Cowboys,23.0,
s47,Safe House,115.0,
s48,The Smart Money Woman,,1.0
s49,Training Day,122.0,
s50,Castle and Castle,,2.0
s51,Dharmakshetra,,1.0
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,99.0,
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,99.0,
s54,InuYasha the Movie 4: Fire on the Mystic Island,88.0,
s55,InuYasha the Movie: Affections Touching Across Time,100.0,
s56,Nailed It,,6.0
s57,Naruto Shippuden the Movie: Blood Prison,102.0,
s58,Naruto Shippûden the Movie: Bonds,93.0,
s59,Naruto Shippûden the Movie: The Will of Fire,96.0,
s60,Naruto Shippuden: The Movie,95.0,
s61,Naruto Shippuden: The Movie: The Lost Tower,85.0,
s62,Naruto the Movie 2: Legend of the Stone of Gelel,97.0,
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,95.0,
s64,Naruto the Movie: Ninja Clash in the Land of Snow,83.0,
s65,Nightbooks,103.0,
s66,Numberblocks,,6.0
s67,Raja Rasoi Aur Anya Kahaniyan,,1.0
s68,Saved by the Bell,,9.0
s69,Schumacher,113.0,
s70,Stories by Rabindranath Tagore,,1.0
s71,Too Hot To Handle: Latino,,1.0
s72,A StoryBots Space Adventure,13.0,
s73,Jack Whitehall: Travels with My Father,,5.0
s74,King of Boys,182.0,
s75,The World's Most Amazing Vacation Rentals,,2.0
s76,You vs. Wild: Out Cold,106.0,
s77,Yowamushi Pedal,,1.0
s78,Little Singham - Black Shadow,48.0,
s79,Tughlaq Durbar,145.0,
s80,Tughlaq Durbar (Telugu),145.0,
s81,Firedrake the Silver Dragon,93.0,
s82,Kate,106.0,
s83,Lucifer,,6.0
s84,Metal Shop Masters,,1.0
s85,Omo Ghetto: the Saga,147.0,
s86,Pokémon Master Journeys: The Series,,1.0
s87,Prey,87.0,
s88,Titipo Titipo,,2.0
s89,Blood Brothers: Malcolm X & Muhammad Ali,96.0,
s90,Mighty Raju,,4.0
s91,Paradise Hills,95.0,
s92,The Women and the Murderer,92.0,
s93,Into the Night,,2.0
s94,JJ+E,91.0,
s95,Show Dogs,90.0,
s96,The Circle,,3.0
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,97.0,
s98,Kid Cosmic,,2.0
s99,Octonauts: Above & Beyond,,1.0
s100,On the Verge,,1.0
s101,Tobot Galaxy Detectives,,2.0
s102,Untold: Breaking Point,80.0,
s103,Countdown: Inspiration4 Mission to Space,,1.0
s104,Shadow Parties,117.0,
s105,Tayo the Little Bus,,2.0
s106,Angamaly Diaries,128.0,
s107,Bunk'd,,5.0
s108,A Champion Heart,90.0,
s109,Dive Club,,1.0
s110,La casa de papel,,5.0
s111,Money Heist: From Tokyo to Berlin,,1.0
s112,Sharkdog,,1.0
s113,Worth,119.0,
s114,Afterlife of the Party,110.0,
s115,Anjaam,143.0,
s116,Bright Star,119.0,
s117,Dhanak,114.0,
s118,Final Account,94.0,
s119,Gurgaon,106.0,
s120,Here and There,99.0,
s121,Heroes of Goo Jit Zu,,1.0
s122,Hotel Del Luna,,1.0
s123,In the Cut,118.0,
s124,Luv Kushh,,1.0
s125,Pororo - The Little Penguin,,3.0
s126,Q-Force,,1.0
s127,Shikara,115.0,
s128,A Cinderella Story,95.0,
s129,Agatha Christie's Crooked House,115.0,
s130,An Unfinished Life,108.0,
s131,Barbie Big City Big Dreams,63.0,
s132,Blade Runner: The Final Cut,117.0,
s133,Brave Animated Series,,1.0
s134,Chappie,121.0,
s135,Clear and Present Danger,142.0,
s136,Cliffhanger,113.0,
s137,Cold Mountain,154.0,
s138,Crocodile Dundee in Los Angeles,95.0,
s139,Dear John,108.0,
s140,Do the Right Thing,120.0,
s141,"El patrón, radiografía de un crimen",100.0,
s142,Extraction,82.0,
s143,Freedom Writers,124.0,
s144,Green Lantern,114.0,
s145,House Party,104.0,
s146,House Party 2,94.0,
s147,House Party 3,94.0,
s148,How to Be a Cowboy,,1.0
s149,HQ Barbers,,1.0
s150,I Got the Hook Up,93.0,
s151,In Too Deep,97.0,
s152,Initial D,109.0,
s153,Janoskians: Untold and Untrue,88.0,
s154,Kid-E-Cats,,2.0
s155,Kuroko's Basketball,,3.0
s156,Labyrinth,101.0,
s157,Letters to Juliet,105.0,
s158,Level 16,102.0,
s159,Love Don't Cost a Thing,101.0,
s160,Love in a Puff,103.0,
s161,Major Dad,,4.0
s162,Mars Attacks!,106.0,
s163,Marshall,118.0,
s164,My Boss's Daughter,86.0,
s165,Mystery Men,121.0,
s166,Oldsters,,1.0
s167,Once Upon a Time in America,229.0,
s168,Open Season 2,76.0,
s169,Osmosis Jones,95.0,
s170,Poseidon,98.0,
s171,Rhyme & Reason,89.0,
s172,Same Kind of Different as Me,120.0,
s173,School of Rock,110.0,
s174,Snervous Tyler Oakley,83.0,
s175,Tears of the Sun,121.0,
s176,The Blue Lagoon,105.0,
s177,The Golden Child,94.0,
s178,The Guns of Navarone,156.0,
s179,The Interview,112.0,
s180,The Nutty Professor,95.0,
s181,The Nutty Professor II: The Klumps,107.0,
s182,Turning Point: 9/11 and the War on Terror,,1.0
s183,Welcome Home Roscoe Jenkins,114.0,
s184,In the Line of Fire,129.0,
s185,Sparking Joy,,1.0
s186,Untold: Crime & Penalties,86.0,
s187,Hometown Cha-Cha-Cha,,1.0
s188,The Ingenuity of the Househusband,,1.0
s189,2 Alone in Paris,97.0,
s190,Bread Barbershop,,2.0
s191,Thimmarusu,125.0,
s192,Wind River,107.0,
s193,C Kkompany,127.0,
s194,D.P.,,1.0
s195,Deadly Sins,,1.0
s196,EMI: Liya Hai To Chukana Padega,128.0,
s197,He's All That,92.0,
s198,I Heart Arlo,,1.0
s199,King of Boys: The Return of the King,,1.0
s200,Koi Aap Sa,135.0,
s201,Krishna Cottage,124.0,
s202,Kucch To Hai,136.0,
s203,Kyaa Kool Hai Hum,165.0,
s204,Kyaa Kool Hain Hum 3,124.0,
s205,Kyaa Super Kool Hain Hum,136.0,
s206,Kyo Kii... Main Jhuth Nahin Bolta,150.0,
s207,"LSD: Love, Sex Aur Dhokha",112.0,
s208,Mission Istaanbul: Darr Ke Aagey Jeet Hai,119.0,
s209,Once Upon a Time in Mumbaai,133.0,
s210,Once Upon a Time in Mumbai Dobaara!,142.0,
s211,Ragini MMS,93.0,
s212,Ragini MMS 2,113.0,
s213,Rebellion,,2.0
s214,RIDE ON TIME,,3.0
s215,SAS: Rise of the Black Swan,124.0,
s216,Shootout at Lokhandwala,116.0,
s217,Shor In the City,106.0,
s218,The Dirty Picture,145.0,
s219,Titletown High,,1.0
s220,EDENS ZERO,,1.0
s221,Family Reunion,,4.0
s222,"Bob Ross: Happy Accidents, Betrayal & Greed",93.0,
s223,Clickbait,,1.0
s224,John of God: The Crimes of a Spiritual Healer,,1.0
s225,Motel Makeover,,1.0
s226,Open Your Eyes,,1.0
s227,Post Mortem: No One Dies in Skarnes,,1.0
s228,Really Love,95.0,
s229,The November Man,108.0,
s230,The Old Ways,90.0,
s231,The River Runner,86.0,
s232,The Water Man,92.0,
s233,Wheel of Fortune,,3.0
s234,Count Me In,82.0,
s235,Oggy Oggy,,1.0
s236,Untold: Caitlyn Jenner,70.0,
s237,Boomika,122.0,
s238,Boomika (Hindi),122.0,
s239,Boomika (Malayalam),122.0,
s240,Boomika (Telugu),122.0,
s241,The Witcher: Nightmare of the Wolf,84.0,
s242,Manifest,,3.0
s243,Comedy Premium League,,1.0
s244,Everything Will Be Fine,,1.0
s245,Gunshot,96.0,
s246,Korean Cold Noodle Rhapsody,,1.0
s247,Man in Love,115.0,
s248,Sweet Girl,110.0,
s249,The Chair,,1.0
s250,The Loud House Movie,88.0,
s251,A Faraway Land,102.0,
s252,Like Crazy,91.0,
s253,Black Island,105.0,
s254,Bombay,135.0,
s255,Go! Go! Cory Carson,,5.0
s256,Memories of a Murderer: The Nilsen Tapes,86.0,
s257,Nneka The Pretty Serpent,140.0,
s258,O Kadhal Kanmani,133.0,
s259,Out of my league,92.0,
s260,Pahuna,82.0,
s261,The Defeated,,1.0
s262,The Secret Diary of an Exchange Student,97.0,
